开始测试时间,测试耗时,测试位置,项目名称,测试结果,蓝牙地址,输出功率-测试结果,输出功率-低频-最大(dBm),输出功率-低频-最小(dBm),输出功率-低频-峰值(dBm),输出功率-低频-平均(dBm),输出功率-低频-结果,输出功率-中频-最大(dBm),输出功率-中频-最小(dBm),输出功率-中频-峰值(dBm),输出功率-中频-平均(dBm),输出功率-中频-结果,输出功率-高频-最大(dBm),输出功率-高频-最小(dBm),输出功率-高频-峰值(dBm),输出功率-高频-平均(dBm),输出功率-高频-结果,频偏漂移-测试结果,平均频偏-低频(kHz),最大+ve频偏-低频(kHz),最大-ve频偏-低频(kHz),漂移速率-低频(kHz),最大漂移-低频(kHz),平均漂移-低频(kHz),频偏漂移-低频-结果,平均频偏-中频(kHz),最大+ve频偏-中频(kHz),最大-ve频偏-中频(kHz),漂移速率-中频(kHz),最大漂移-中频(kHz),平均漂移-中频(kHz),频偏漂移-中频-结果,平均频偏-高频(kHz),最大+ve频偏-高频(kHz),最大-ve频偏-高频(kHz),漂移速率-高频(kHz),最大漂移-高频(kHz),平均漂移-高频(kHz),频偏漂移-高频-结果,单时隙灵敏度-测试结果,误码率-低频(%),误帧率-低频-结果,误码率-中频(%),误帧率-中频-结果,误码率-高频(%),误帧率-高频-结果,
08:24:17,0:00:09,P2,TK-045,PASS,MAC: A4C138855CE3,PASS,-3.82,-3.88,0.13,-3.86,PASS,-0.83,-0.88,0.14,-0.86,PASS,-0.37,-0.42,0.13,-0.41,PASS,PASS,24,24.9,23,1.97,2,1,PASS,24.5,25.7,23.5,-2.1,2,0,PASS,25,26.1,23.9,2.86,3,0,PASS,PASS,24.000,PASS,0.400,PASS,0.200,PASS,
08:24:54,0:00:09,P2,TK-045,PASS,MAC: A4C1388551E3,PASS,-3.67,-3.69,0.14,-3.68,PASS,-1.34,-1.34,0.15,-1.34,PASS,-1.44,-1.45,0.15,-1.44,PASS,PASS,28.9,30.2,28.1,2.3,3,1,PASS,29.4,30.4,28.4,1.76,2,0,PASS,30,31,28.6,3.4,3,1,PASS,PASS,21.000,PASS,0.800,PASS,1.000,PASS,
08:25:21,0:00:09,P2,TK-045,PASS,MAC: A4C1388550E3,PASS,-2.76,-2.77,0.13,-2.77,PASS,-0.64,-0.64,0.15,-0.64,PASS,-0.64,-0.64,0.14,-0.64,PASS,PASS,23.5,25.1,22.4,-2.62,2,0,PASS,24,25.5,22.9,2.23,3,0,PASS,24.5,25.6,22.8,2.76,-2,0,PASS,PASS,10.000,PASS,0.600,PASS,0.000,PASS,
08:26:23,0:00:09,P2,TK-045,PASS,MAC: A4C138155E93,PASS,-3.02,-3.04,0.13,-3.03,PASS,-0.40,-0.41,0.15,-0.40,PASS,-0.51,-0.52,0.14,-0.52,PASS,PASS,12.9,14.1,11.4,-1.91,3,1,PASS,13.2,15.4,12,2.38,2,2,PASS,13.5,14.7,12.3,-2.54,3,1,PASS,PASS,13.800,PASS,0.000,PASS,0.800,PASS,
08:28:45,0:00:09,P2,TK-045,PASS,MAC: A4C138155593,PASS,-3.04,-3.04,0.13,-3.04,PASS,-0.41,-0.42,0.15,-0.41,PASS,-0.50,-0.51,0.14,-0.50,PASS,PASS,12.4,13.3,11,1.96,2,1,PASS,12.7,14.1,11.8,-2.57,3,0,PASS,13,14.2,11.4,-2.65,4,1,PASS,PASS,14.000,PASS,0.800,PASS,0.400,PASS,
08:29:23,0:00:09,P2,TK-045,PASS,MAC: A4C138955E93,PASS,-4.06,-4.07,0.13,-4.06,PASS,-0.99,-1.00,0.14,-0.99,PASS,-0.70,-0.70,0.13,-0.70,PASS,PASS,35.3,36.5,34.3,-2.21,3,2,PASS,36,36.7,35,-2.02,3,1,PASS,36.6,37.9,35.9,2.83,2,1,PASS,PASS,26.400,PASS,1.400,PASS,0.400,PASS,
08:29:58,0:00:09,P2,TK-045,PASS,MAC: A4C138455493,PASS,-2.89,-2.89,0.14,-2.89,PASS,-0.06,-0.07,0.14,-0.07,PASS,0.03,0.03,0.14,0.03,PASS,PASS,31.5,32.5,30.8,-2.25,3,0,PASS,32.1,33.5,31.4,2.32,-2,1,PASS,32.7,34,31,-2.47,2,1,PASS,PASS,10.600,PASS,0.400,PASS,0.200,PASS,
08:30:38,0:00:09,P2,TK-045,PASS,MAC: A4C138955293,PASS,-2.67,-2.69,0.13,-2.68,PASS,-0.48,-0.53,0.15,-0.53,PASS,-0.65,-0.69,0.13,-0.67,PASS,PASS,30.5,31.9,29.3,-2.44,3,1,PASS,31,32,30.2,2.63,3,0,PASS,31.6,32.5,30.8,2.84,3,1,PASS,PASS,17.800,PASS,1.400,PASS,1.200,PASS,
08:34:51,0:00:09,P2,TK-045,PASS,MAC: A4C138455293,PASS,-3.51,-3.52,0.13,-3.51,PASS,-0.60,-0.61,0.14,-0.60,PASS,-0.45,-0.46,0.14,-0.46,PASS,PASS,33.5,34.6,32,-2.6,-3,1,PASS,34.1,35.2,33.1,2.22,-3,0,PASS,34.7,36.5,33.2,3.1,3,-1,PASS,PASS,24.600,PASS,1.000,PASS,0.000,PASS,
08:35:21,0:00:10,P2,TK-045,PASS,MAC: A4C138955D93,PASS,-2.88,-2.90,0.13,-2.89,PASS,-0.07,-0.08,0.15,-0.07,PASS,0.23,0.23,0.14,0.23,PASS,PASS,29.7,31.1,28.5,-2.66,3,1,PASS,30.2,31.7,28.8,-2.64,3,1,PASS,30.8,31.7,29.3,2.69,2,0,PASS,PASS,16.200,PASS,0.400,PASS,0.400,PASS,
08:36:00,0:00:09,P2,TK-045,PASS,MAC: A4C138455393,PASS,-3.16,-3.21,0.13,-3.20,PASS,-0.20,-0.20,0.14,-0.20,PASS,0.09,0.04,0.13,0.05,PASS,PASS,33.3,34.5,32.3,2.48,2,1,PASS,33.9,35.1,31.8,3,2,0,PASS,34.6,35.3,33.8,-1.82,2,1,PASS,PASS,21.400,PASS,1.200,PASS,0.600,PASS,
08:36:33,0:00:09,P2,TK-045,PASS,MAC: A4C138455093,PASS,-2.70,-2.71,0.12,-2.71,PASS,0.25,0.25,0.14,0.25,PASS,0.52,0.51,0.13,0.52,PASS,PASS,33.8,35.1,32.2,-2.5,3,1,PASS,34.4,35.6,33.1,-2.9,3,0,PASS,35.1,36.4,33.9,-2.29,3,0,PASS,PASS,14.800,PASS,0.600,PASS,0.200,PASS,
08:37:12,0:00:10,P2,TK-045,PASS,MAC: A4C138455F93,PASS,-3.82,-3.83,0.13,-3.82,PASS,-1.34,-1.35,0.16,-1.34,PASS,-1.38,-1.39,0.15,-1.38,PASS,PASS,31.4,32.6,30.3,2.28,2,0,PASS,32,33.1,31.2,-2.61,4,1,PASS,32.7,33.8,30.7,2.7,4,1,PASS,PASS,24.000,PASS,1.800,PASS,1.000,PASS,
08:38:12,0:00:09,P2,TK-045,PASS,MAC: A4C138F55393,PASS,-3.48,-3.48,0.13,-3.48,PASS,-0.71,-0.72,0.15,-0.71,PASS,-0.75,-0.75,0.14,-0.75,PASS,PASS,20.5,21.4,19.2,2.42,3,1,PASS,20.9,22.6,19.6,-2.5,3,1,PASS,21.3,22.3,20,-2.25,3,1,PASS,PASS,25.200,PASS,1.400,PASS,0.600,PASS,
08:38:51,0:00:09,P2,TK-045,PASS,MAC: A4C138455793,PASS,-3.79,-3.83,0.14,-3.81,PASS,-0.96,-0.97,0.16,-0.97,PASS,-0.88,-0.88,0.15,-0.88,PASS,PASS,29.7,31.2,29,-2.35,3,1,PASS,30.3,31.4,29.1,2.5,3,0,PASS,30.9,32.3,29.8,-2.48,3,1,PASS,PASS,30.600,PASS,1.400,PASS,0.400,PASS,
08:40:49,0:00:09,P2,TK-045,PASS,MAC: A4C138955393,PASS,-3.95,-3.96,0.14,-3.96,PASS,-1.29,-1.30,0.15,-1.29,PASS,-1.23,-1.24,0.14,-1.24,PASS,PASS,30.5,32.2,28.5,2.19,3,1,PASS,31,32.5,30.1,2.26,3,1,PASS,31.7,33.6,31.1,-2.52,2,1,PASS,PASS,28.600,PASS,1.400,PASS,0.200,PASS,
08:41:50,0:00:09,P2,TK-045,PASS,MAC: A4C138A557E3,PASS,-3.42,-3.42,0.13,-3.42,PASS,-0.61,-0.62,0.15,-0.61,PASS,-0.53,-0.54,0.16,-0.54,PASS,PASS,12.3,13.2,11,2.08,2,0,PASS,12.5,14,11.2,-2.57,3,2,PASS,12.8,14.1,11.7,2.43,2,0,PASS,PASS,25.000,PASS,1.800,PASS,0.800,PASS,
08:45:06,0:00:09,P2,TK-045,PASS,MAC: A4C1389555E3,PASS,-1.75,-1.75,0.13,-1.75,PASS,0.12,0.11,0.16,0.11,PASS,-0.77,-0.77,0.15,-0.77,PASS,PASS,21.2,22.2,20.4,2.01,2,1,PASS,21.6,22.9,20.3,3.22,3,1,PASS,22.1,22.8,20.8,-2.19,-2,0,PASS,PASS,3.400,PASS,0.200,PASS,0.600,PASS,
08:46:31,0:00:09,P2,TK-045,PASS,MAC: A4C138955AE3,PASS,-2.29,-2.29,0.12,-2.29,PASS,0.43,0.42,0.15,0.42,PASS,0.27,0.26,0.14,0.27,PASS,PASS,14.2,15.1,12.5,3.13,3,0,PASS,14.6,15.5,13.3,2.39,2,0,PASS,14.9,15.9,14.1,-2.56,3,0,PASS,PASS,10.200,PASS,0.200,PASS,0.200,PASS,
08:47:23,0:00:09,P2,TK-045,PASS,MAC: A4C138A556E3,PASS,-3.47,-3.48,0.13,-3.47,PASS,-0.97,-0.97,0.16,-0.97,PASS,-1.05,-1.05,0.14,-1.05,PASS,PASS,17.9,18.7,16.1,2.33,2,0,PASS,18.3,19.4,16.9,2.45,-2,0,PASS,18.7,19.6,17.7,-1.97,3,1,PASS,PASS,16.800,PASS,1.000,PASS,0.000,PASS,
08:48:09,0:00:12,P2,TK-045,PASS,MAC: A4C138955FE3,PASS,-2.54,-2.56,0.13,-2.55,PASS,0.29,0.28,0.15,0.29,PASS,0.12,0.12,0.15,0.12,PASS,PASS,11.6,12.7,10.2,-2.53,3,1,PASS,11.8,13,10.9,-2.97,4,0,PASS,12.1,13.2,10.9,2.36,4,2,PASS,PASS,10.000,PASS,0.000,PASS,0.200,PASS,
08:48:49,0:00:09,P2,TK-045,PASS,MAC: A4C138955DE3,PASS,-2.88,-2.90,0.13,-2.89,PASS,0.12,0.12,0.15,0.12,PASS,0.14,0.14,0.14,0.14,PASS,PASS,16.9,18.3,15.9,2.25,-3,0,PASS,17.2,18.2,16.1,-2.62,-2,-1,PASS,17.7,19.2,16.4,-2.3,2,1,PASS,PASS,13.800,PASS,0.400,PASS,0.200,PASS,
08:49:19,0:00:09,P2,TK-045,PASS,MAC: A4C138955F93,PASS,-2.20,-2.27,0.12,-2.23,PASS,0.79,0.74,0.14,0.75,PASS,0.85,0.80,0.13,0.82,PASS,PASS,30.2,31.6,28.8,2.16,2,0,PASS,30.8,31.7,29.3,-2.56,3,0,PASS,31.4,32.8,30.3,2.21,2,2,PASS,PASS,8.400,PASS,0.600,PASS,0.400,PASS,
08:49:54,0:00:09,P2,TK-045,PASS,MAC: A4C138C55093,PASS,-2.95,-2.95,0.13,-2.95,PASS,-0.66,-0.67,0.15,-0.66,PASS,-1.01,-1.02,0.15,-1.02,PASS,PASS,14.9,15.6,13.9,2.67,3,0,PASS,15.2,16,13.8,2.55,2,1,PASS,15.6,16.8,14.6,-2.38,2,1,PASS,PASS,10.800,PASS,0.400,PASS,1.000,PASS,
08:52:23,0:00:09,P2,TK-045,PASS,MAC: A4C138955893,PASS,-2.35,-2.36,0.12,-2.36,PASS,0.17,0.16,0.15,0.17,PASS,0.02,0.02,0.15,0.02,PASS,PASS,28.3,29.6,26.8,2.82,3,0,PASS,28.8,29.9,27.3,2.08,2,0,PASS,29.4,30.6,28.5,2.92,3,1,PASS,PASS,8.400,PASS,0.800,PASS,0.200,PASS,
08:54:44,0:00:10,P2,TK-045,PASS,MAC: A4C1389557E3,PASS,-2.21,-2.22,0.13,-2.21,PASS,0.84,0.84,0.14,0.84,PASS,0.80,0.80,0.14,0.80,PASS,PASS,19.4,20.6,17.9,2.42,3,0,PASS,19.8,20.9,19.2,-2.15,3,1,PASS,20.2,21.5,19.4,2.3,3,0,PASS,PASS,7.800,PASS,0.000,PASS,0.000,PASS,
08:55:35,0:00:09,P2,TK-045,PASS,MAC: A4C138A55293,PASS,-3.68,-3.68,0.13,-3.68,PASS,-0.67,-0.67,0.15,-0.67,PASS,-0.48,-0.48,0.15,-0.48,PASS,PASS,39.9,41.1,38.6,2.8,3,2,PASS,40.6,42.1,39.1,-2.38,3,1,PASS,41.3,42.3,40.4,-2.16,3,2,PASS,PASS,29.200,PASS,1.400,PASS,0.400,PASS,
08:56:40,0:00:09,P2,TK-045,PASS,MAC: A4C1389551E3,PASS,-2.87,-2.88,0.12,-2.87,PASS,0.03,0.02,0.15,0.03,PASS,-0.11,-0.12,0.13,-0.11,PASS,PASS,20.8,21.6,19.9,2.32,2,2,PASS,21.2,22.1,19.9,-2.96,2,1,PASS,21.6,22.5,20.5,-2.8,4,0,PASS,PASS,19.000,PASS,0.200,PASS,0.400,PASS,
08:57:10,0:00:09,P2,TK-045,PASS,MAC: A4C138A550,PASS,-2.27,-2.27,0.13,-2.27,PASS,0.06,0.06,0.14,0.06,PASS,-0.19,-0.19,0.13,-0.19,PASS,PASS,34.3,35.4,33,2.02,-2,0,PASS,34.9,36,34,-2.04,3,0,PASS,35.6,36.7,34.2,-2.43,3,1,PASS,PASS,8.000,PASS,1.000,PASS,0.200,PASS,
08:57:43,0:00:09,P2,TK-045,PASS,MAC: A4C1389556E3,PASS,-1.80,-1.86,0.12,-1.85,PASS,0.72,0.68,0.14,0.68,PASS,0.49,0.45,0.14,0.47,PASS,PASS,16.9,18.4,15.7,-2.72,-3,0,PASS,17.2,18.5,15.9,-2.4,3,0,PASS,17.6,18.8,16.1,-2.89,-2,-1,PASS,PASS,5.400,PASS,0.000,PASS,0.000,PASS,
08:58:42,0:00:09,P2,TK-045,PASS,MAC: A4C138955EE3,PASS,-0.44,-0.51,0.11,-0.50,PASS,2.24,2.19,0.14,2.20,PASS,1.59,1.54,0.14,1.55,PASS,PASS,15,15.8,13.6,2.37,3,2,PASS,15.3,16.3,14.3,-2.76,3,0,PASS,15.6,17,14.6,-2.36,2,2,PASS,PASS,1.400,PASS,0.000,PASS,0.200,PASS,
08:59:39,0:00:10,P2,TK-045,PASS,MAC: A4C138B55393,PASS,-0.71,-0.72,0.12,-0.72,PASS,1.44,1.43,0.15,1.43,PASS,0.97,0.96,0.13,0.96,PASS,PASS,13.4,14.8,12,-2.2,-2,0,PASS,13.7,14.6,12.4,2.85,2,1,PASS,14.1,15.1,12.9,2.91,3,0,PASS,PASS,1.400,PASS,0.000,PASS,0.000,PASS,
09:00:12,0:00:10,P2,TK-045,PASS,MAC: A4C138B55293,PASS,-2.01,-2.02,0.13,-2.02,PASS,0.24,0.23,0.15,0.23,PASS,-0.22,-0.22,0.14,-0.22,PASS,PASS,9.2,10.4,7.9,2.32,3,1,PASS,9.5,10.4,8.2,-2.94,2,0,PASS,9.7,11.3,8.1,-2.49,-2,0,PASS,PASS,5.600,PASS,0.200,PASS,0.400,PASS,
